Sectie;Xcoord;Ycoord;dist_binnen;dist_buiten;angle_binnen;angle_buiten
A;118596.33;439655.41;19;67;94.83;-85.17
A;118595.34;439655.32;19;67;94.83;-85.17
A;118594.34;439655.24;19;67;94.83;-85.17
A;118593.34;439655.16;19;67;94.83;-85.17
A;118592.35;439655.07;19;67;94.83;-85.17
A;118591.35;439654.99;19;66;94.83;-85.17
A;118590.35;439654.9;19;66;94.83;-85.17
A;118589.36;439654.82;33;66;94.83;-85.17
A;118588.36;439654.73;33;66;94.83;-85.17
A;118587.36;439654.65;32;66;94.83;-85.17
A;118586.37;439654.57;32;66;94.83;-85.17
A;118585.37;439654.48;31;66;94.83;-85.17
A;118584.37;439654.4;31;66;94.83;-85.17
A;118583.38;439654.31;31;66;94.92;-85.08
A;118582.38;439654.23;33;66;95.02;-84.98
A;118581.39;439654.14;36;66;95.02;-84.98
A;118580.39;439654.05;38;86;95.02;-84.98
A;118579.39;439653.97;40;500;95.02;-84.98
A;118578.4;439653.88;43;500;95.02;-84.98
A;118577.4;439653.79;45;500;95.02;-84.98
A;118576.41;439653.7;59;500;95.02;-84.98
A;118575.41;439653.62;59;500;95.02;-84.98
A;118574.41;439653.53;58;500;95.02;-84.98
A;118573.42;439653.44;57;500;95.02;-84.98
A;118572.42;439653.35;57;500;95.02;-84.98
A;118571.42;439653.27;56;500;95.02;-84.98
A;118570.43;439653.18;55;500;95.02;-84.98
A;118569.43;439653.09;55;500;95.02;-84.98
A;118568.44;439653.0;56;500;95.88;-84.12
A;118567.44;439652.9;58;500;95.93;-84.07
A;118566.45;439652.8;23;500;95.93;-84.07
A;118565.45;439652.69;23;500;95.93;-84.07
A;118564.46;439652.59;23;500;95.93;-84.07
A;118563.46;439652.49;23;500;95.93;-84.07
A;118562.47;439652.38;23;500;95.93;-84.07
A;118561.47;439652.28;23;500;95.93;-84.07
A;118560.48;439652.18;23;500;95.93;-84.07
A;118559.48;439652.07;23;500;95.93;-84.07
A;118558.49;439651.97;23;500;94.89;-85.11
A;118557.49;439651.89;23;42;94.46;-85.54
A;118556.5;439651.81;23;42;94.46;-85.54
A;118555.5;439651.73;23;42;94.46;-85.54
A;118554.5;439651.65;23;42;94.46;-85.54
A;118553.51;439651.58;23;42;94.46;-85.54
A;118552.51;439651.5;23;42;94.46;-85.54
A;118551.51;439651.42;23;42;94.46;-85.54
A;118550.51;439651.34;27;42;94.46;-85.54
A;118549.52;439651.26;38;42;94.46;-85.54
A;118548.52;439651.19;50;42;93.55;-86.45
A;118547.52;439651.13;50;42;92.6;-87.4
A;118546.52;439651.08;49;42;92.6;-87.4
A;118545.52;439651.03;49;42;92.6;-87.4
A;118544.53;439650.99;48;42;92.6;-87.4
A;118543.53;439650.94;48;42;92.6;-87.4
A;118542.53;439650.9;48;42;89.86;-90.14
A;118541.53;439650.9;49;42;88.45;-91.55
A;118540.53;439650.93;48;43;88.45;-91.55
A;118539.53;439650.95;47;43;88.45;-91.55
A;118538.53;439650.98;47;43;88.45;-91.55
A;118537.53;439651.01;46;43;88.01;-91.99
A;118536.53;439651.04;47;43;87.88;-92.12
A;118535.53;439651.08;49;43;87.88;-92.12
A;118534.53;439651.12;50;43;87.88;-92.12
A;118533.53;439651.15;52;43;87.88;-92.12
A;118532.53;439651.19;54;43;87.88;-92.12
