Sectie;Xcoord;Ycoord;dist_binnen;dist_buiten;angle_binnen;angle_buiten
A;208668.95;428832.53;500;500;81.38;-98.62
A;208667.97;428832.68;500;500;81.38;-98.62
A;208666.98;428832.83;500;500;81.38;-98.62
A;208665.99;428832.98;500;500;81.7;-98.3
A;208665.0;428833.13;500;500;85.79;-94.21
A;208664.0;428833.2;500;500;85.79;-94.21
A;208663.0;428833.27;500;500;85.79;-94.21
A;208662.01;428833.35;500;500;85.79;-94.21
A;208661.01;428833.42;500;500;85.79;-94.21
A;208660.01;428833.49;500;500;85.79;-94.21
A;208659.02;428833.57;500;500;85.79;-94.21
A;208658.02;428833.64;500;500;85.79;-94.21
A;208657.02;428833.71;500;500;85.79;-94.21
A;208656.02;428833.79;500;500;85.79;-94.21
A;208655.03;428833.86;500;500;85.79;-94.21
A;208654.03;428833.93;500;500;85.79;-94.21
A;208653.03;428834.01;500;500;85.79;-94.21
A;208652.03;428834.08;500;500;85.79;-94.21
A;208651.04;428834.15;500;500;85.79;-94.21
A;208650.04;428834.23;500;500;85.8;-94.2
A;208649.04;428834.3;500;500;85.83;-94.17
A;208648.05;428834.37;500;500;85.83;-94.17
A;208647.05;428834.45;500;500;85.83;-94.17
A;208646.05;428834.52;500;500;85.83;-94.17
A;208645.05;428834.59;500;500;85.83;-94.17
A;208644.06;428834.66;500;500;85.83;-94.17
A;208643.06;428834.74;500;500;85.83;-94.17
A;208642.06;428834.81;500;500;85.83;-94.17
A;208641.06;428834.88;500;500;85.83;-94.17
A;208640.07;428834.95;500;500;85.83;-94.17
A;208639.07;428835.03;500;500;85.83;-94.17
A;208638.07;428835.1;500;500;85.83;-94.17
A;208637.07;428835.17;500;500;85.83;-94.17
A;208636.08;428835.25;500;500;85.83;-94.17
A;208635.08;428835.32;500;500;85.83;-94.17
A;208634.08;428835.39;500;500;85.81;-94.19
A;208633.08;428835.46;500;500;85.79;-94.21
A;208632.09;428835.54;500;500;85.79;-94.21
A;208631.09;428835.61;500;500;85.79;-94.21
A;208630.09;428835.68;500;500;85.79;-94.21
A;208629.1;428835.76;500;500;85.79;-94.21
A;208628.1;428835.83;500;500;85.79;-94.21
A;208627.1;428835.9;500;500;85.79;-94.21
A;208626.1;428835.98;500;500;85.79;-94.21
A;208625.11;428836.05;500;500;85.79;-94.21
A;208624.11;428836.12;500;500;85.79;-94.21
A;208623.11;428836.2;500;500;85.79;-94.21
A;208622.11;428836.27;500;500;85.79;-94.21
A;208621.12;428836.35;500;500;85.79;-94.21
A;208620.12;428836.42;500;500;85.79;-94.21
A;208619.12;428836.49;500;500;85.79;-94.21
A;208618.13;428836.57;500;500;88.8;-91.2
A;208617.13;428836.59;500;500;90.32;-89.68
A;208616.13;428836.58;500;500;90.32;-89.68
A;208615.13;428836.58;500;500;90.32;-89.68
A;208614.13;428836.57;500;500;90.32;-89.68
A;208613.13;428836.56;500;500;90.32;-89.68
A;208612.13;428836.56;500;500;90.32;-89.68
A;208611.13;428836.55;500;500;90.32;-89.68
A;208610.13;428836.55;500;500;90.32;-89.68
A;208609.13;428836.54;500;500;90.32;-89.68
A;208608.13;428836.54;500;500;90.32;-89.68
A;208607.13;428836.53;500;500;10.63;-169.37
A;208606.94;428837.51;500;500;10.27;-169.73
A;208606.76;428838.49;500;500;10.27;-169.73
A;208606.59;428839.48;500;500;10.27;-169.73
A;208606.41;428840.46;500;500;-36.25;143.75
A;208606.86;428841.08;500;500;-34.92;145.08
A;208607.37;428841.81;500;500;26.91;-153.09
A;208606.99;428842.56;500;500;63.61;-116.39
A;208606.13;428842.99;500;500;85.22;-94.78
A;208605.13;428843.07;500;500;85.22;-94.78
A;208604.14;428843.16;500;500;85.22;-94.78
A;208603.14;428843.24;500;500;85.22;-94.78
A;208602.14;428843.32;500;500;85.22;-94.78
A;208601.15;428843.41;500;500;85.22;-94.78
A;208600.15;428843.49;500;500;85.22;-94.78
A;208599.15;428843.57;500;500;85.22;-94.78
A;208598.16;428843.66;500;500;85.22;-94.78
A;208597.16;428843.74;500;500;85.22;-94.78
A;208596.16;428843.82;500;500;85.22;-94.78
A;208595.17;428843.91;500;500;85.22;-94.78
A;208594.17;428843.99;500;500;85.22;-94.78
A;208593.17;428844.07;500;500;85.22;-94.78
A;208592.18;428844.16;500;500;85.22;-94.78
A;208591.18;428844.24;500;500;85.22;-94.78
A;208590.18;428844.32;500;500;85.22;-94.78
A;208589.19;428844.41;500;500;85.22;-94.78
A;208588.19;428844.49;500;500;85.65;-94.35
A;208587.19;428844.57;500;500;85.87;-94.13
A;208586.2;428844.64;500;500;85.87;-94.13
A;208585.2;428844.71;500;500;85.87;-94.13
A;208584.2;428844.78;500;500;85.87;-94.13
A;208583.2;428844.86;500;500;85.87;-94.13
A;208582.21;428844.93;500;500;85.87;-94.13
A;208581.21;428845.0;500;500;85.87;-94.13
A;208580.21;428845.07;500;500;85.87;-94.13
A;208579.21;428845.14;500;500;85.87;-94.13
A;208578.22;428845.22;500;500;85.87;-94.13
A;208577.22;428845.29;500;500;85.87;-94.13
A;208576.22;428845.36;500;500;85.87;-94.13
A;208575.22;428845.43;500;500;85.87;-94.13
A;208574.23;428845.5;500;500;85.87;-94.13
A;208573.23;428845.57;500;500;85.87;-94.13
A;208572.23;428845.65;500;500;85.87;-94.13
