Sectie;Xcoord;Ycoord;dist_binnen;dist_buiten;angle_binnen;angle_buiten
A;196600.38;442843.41;500;127;-93.52;86.48
A;196601.38;442843.35;500;127;-93.52;86.48
A;196602.38;442843.29;500;128;-93.52;86.48
A;196603.37;442843.23;500;128;-93.52;86.48
A;196604.37;442843.17;500;128;-93.52;86.48
A;196605.37;442843.11;500;129;-93.52;86.48
A;196606.37;442843.05;500;129;-93.52;86.48
A;196607.37;442842.98;500;129;-93.52;86.48
A;196608.36;442842.92;500;130;-93.52;86.48
A;196609.36;442842.86;500;130;-93.52;86.48
A;196610.36;442842.8;500;130;-93.52;86.48
A;196611.36;442842.74;500;131;-93.52;86.48
A;196612.36;442842.68;500;131;-93.52;86.48
A;196613.35;442842.62;500;131;-93.52;86.48
A;196614.35;442842.55;500;131;-93.52;86.48
A;196615.35;442842.49;500;132;-93.52;86.48
A;196616.35;442842.43;500;132;-93.52;86.48
A;196617.35;442842.37;500;132;-93.52;86.48
A;196618.34;442842.31;500;132;-93.52;86.48
A;196619.34;442842.25;500;132;-93.52;86.48
A;196620.34;442842.19;500;133;-93.52;86.48
A;196621.34;442842.12;500;133;-93.52;86.48
A;196622.34;442842.06;500;133;-93.52;86.48
A;196623.33;442842.0;500;133;-93.52;86.48
A;196624.33;442841.94;500;134;-93.52;86.48
A;196625.33;442841.88;500;134;-93.52;86.48
A;196626.33;442841.82;500;134;-93.52;86.48
A;196627.33;442841.76;500;134;-93.52;86.48
A;196628.33;442841.7;500;134;-93.52;86.48
A;196629.32;442841.63;500;135;-93.52;86.48
A;196630.32;442841.57;500;135;-93.52;86.48
A;196631.32;442841.51;500;135;-93.52;86.48
A;196632.32;442841.45;500;135;-93.52;86.48
A;196633.32;442841.39;500;135;-93.52;86.48
A;196634.31;442841.33;500;136;-93.52;86.48
A;196635.31;442841.27;500;136;-93.52;86.48
A;196636.31;442841.2;500;136;-93.52;86.48
A;196637.31;442841.14;500;136;-93.52;86.48
A;196638.31;442841.08;500;137;-93.52;86.48
A;196639.3;442841.02;500;137;-93.52;86.48
A;196640.3;442840.96;500;137;-93.52;86.48
A;196641.3;442840.9;500;137;-93.52;86.48
A;196642.3;442840.84;500;137;-93.52;86.48
A;196643.3;442840.78;500;137;-93.52;86.48
A;196644.29;442840.71;500;137;-93.52;86.48
A;196645.29;442840.65;500;137;-93.52;86.48
A;196646.29;442840.59;500;137;-93.52;86.48
A;196647.29;442840.53;500;138;-93.52;86.48
A;196648.29;442840.47;500;138;-93.52;86.48
A;196649.29;442840.41;500;138;-93.52;86.48
A;196650.28;442840.35;500;138;-93.52;86.48
A;196651.28;442840.28;500;138;-93.52;86.48
A;196652.28;442840.22;500;138;-93.52;86.48
A;196653.28;442840.16;500;138;-93.52;86.48
A;196654.28;442840.1;500;138;-93.52;86.48
A;196655.27;442840.04;500;138;-93.52;86.48
A;196656.27;442839.98;500;138;-93.52;86.48
A;196657.27;442839.92;500;138;-93.52;86.48
A;196658.27;442839.85;500;138;-93.52;86.48
A;196659.27;442839.79;500;138;-93.52;86.48
A;196660.26;442839.73;500;138;-93.52;86.48
A;196661.26;442839.67;500;139;-93.52;86.48
A;196662.26;442839.61;500;139;-93.52;86.48
A;196663.26;442839.55;500;139;-93.52;86.48
A;196664.26;442839.49;500;139;-93.52;86.48
