Sectie;Xcoord;Ycoord;dist_binnen;dist_buiten;angle_binnen;angle_buiten
A;199186.66;515698.01;0;0;-76.0;104.0
A;199187.63;515698.25;0;0;-76.0;104.0
A;199188.6;515698.49;0;0;-76.0;104.0
A;199189.57;515698.74;0;0;-76.0;104.0
A;199190.54;515698.98;0;0;-76.0;104.0
A;199191.51;515699.22;0;0;-76.0;104.0
A;199192.48;515699.46;0;0;-76.0;104.0
A;199193.45;515699.7;0;0;-76.0;104.0
A;199194.42;515699.95;4;6;-76.0;104.0
A;199195.39;515700.19;6;11;-76.0;104.0
A;199196.36;515700.43;8;13;-76.0;104.0
A;199197.33;515700.67;9;16;-76.0;104.0
A;199198.3;515700.91;11;18;-76.0;104.0
A;199199.28;515701.16;11;18;-76.0;104.0
A;199200.25;515701.4;32;18;-76.0;104.0
A;199201.22;515701.64;67;18;-76.0;104.0
A;199202.19;515701.88;100;18;-76.0;104.0
A;199203.16;515702.12;131;115;-76.0;104.0
A;199204.13;515702.37;163;134;-76.0;104.0
A;199205.1;515702.61;195;154;-76.0;104.0
A;199206.07;515702.85;226;173;-76.0;104.0
A;199207.04;515703.09;500;193;-76.0;104.0
A;199208.01;515703.33;500;201;-76.0;104.0
A;199208.98;515703.57;500;205;-76.0;104.0
A;199209.95;515703.82;500;209;-76.0;104.0
A;199210.92;515704.06;500;38;-61.23;118.77
A;199211.63;515704.45;500;500;15.61;-164.39
A;199211.36;515705.41;500;18;15.61;-164.39
A;199211.09;515706.38;500;17;15.61;-164.39
A;199210.82;515707.34;500;17;15.61;-164.39
A;199210.56;515708.3;500;19;-27.11;152.89
A;199210.89;515708.96;500;87;-69.19;110.81
A;199211.83;515709.32;500;93;-69.19;110.81
A;199212.76;515709.67;500;99;-69.19;110.81
A;199213.7;515710.03;500;104;-69.19;110.81
A;199214.63;515710.38;500;110;-69.19;110.81
A;199215.57;515710.74;500;116;-69.19;110.81
A;199216.5;515711.09;500;122;-69.19;110.81
A;199217.44;515711.45;500;128;-69.19;110.81
A;199218.37;515711.8;500;134;-69.19;110.81
A;199219.31;515712.16;500;139;-69.19;110.81
A;199220.24;515712.51;500;169;-70.59;109.41
A;199221.18;515712.85;500;185;-71.0;109.0
A;199222.13;515713.17;500;193;-71.0;109.0
A;199223.07;515713.5;500;195;-71.0;109.0
A;199224.02;515713.82;500;198;-71.0;109.0
A;199224.97;515714.15;500;201;-71.0;109.0
A;199225.91;515714.47;500;204;-71.0;109.0
A;199226.86;515714.8;500;207;-71.0;109.0
A;199227.8;515715.12;500;210;-71.0;109.0
A;199228.75;515715.45;500;212;-71.0;109.0
A;199229.69;515715.78;500;214;-71.0;109.0
A;199230.64;515716.1;500;216;-71.0;109.0
A;199231.58;515716.43;500;217;-71.0;109.0
A;199232.53;515716.75;500;219;-71.0;109.0
A;199233.47;515717.08;500;221;-71.0;109.0
A;199234.42;515717.4;500;223;-71.0;109.0
A;199235.37;515717.73;500;133;-61.28;118.72
A;199236.21;515718.19;500;56;-33.02;146.98
A;199236.75;515719.03;500;57;-33.02;146.98
A;199237.3;515719.87;500;58;-33.02;146.98
A;199237.84;515720.7;500;59;-33.02;146.98
A;199238.39;515721.54;500;60;-33.02;146.98
A;199238.93;515722.38;500;61;-33.02;146.98
A;199239.48;515723.22;500;62;-33.02;146.98
A;199240.02;515724.06;500;64;-33.02;146.98
A;199240.57;515724.9;500;65;-33.02;146.98
A;199241.11;515725.74;500;66;-33.02;146.98
A;199241.66;515726.57;500;67;-33.02;146.98
A;199242.2;515727.41;500;68;-33.02;146.98
A;199242.75;515728.25;500;69;-33.02;146.98
A;199243.29;515729.09;500;70;-33.02;146.98
A;199243.84;515729.93;500;71;-33.02;146.98
A;199244.38;515730.77;500;72;-33.02;146.98
A;199244.93;515731.61;500;67;-27.92;152.08
A;199245.38;515732.46;500;49;13.42;-166.58
A;199245.15;515733.43;500;49;13.42;-166.58
A;199244.91;515734.4;500;49;13.42;-166.58
A;199244.68;515735.38;500;49;13.42;-166.58
A;199244.45;515736.35;500;49;13.42;-166.58
A;199244.22;515737.32;500;49;13.42;-166.58
A;199243.99;515738.3;500;49;13.42;-166.58
A;199243.75;515739.27;500;49;13.42;-166.58
A;199243.52;515740.24;500;49;13.42;-166.58
A;199243.29;515741.21;500;49;13.42;-166.58
A;199243.06;515742.19;500;49;13.42;-166.58
A;199242.83;515743.16;500;49;13.42;-166.58
A;199242.59;515744.13;500;49;13.42;-166.58
A;199242.36;515745.1;500;50;13.4;-166.6
A;199242.13;515746.08;500;50;13.06;-166.94
A;199241.9;515747.05;500;50;13.06;-166.94
A;199241.68;515748.03;500;50;13.06;-166.94
A;199241.45;515749.0;500;50;13.06;-166.94
