Sectie;Xcoord;Ycoord;dist_binnen;dist_buiten;angle_binnen;angle_buiten
A;191127.53;508820.94;61;500;-44.25;135.75
A;191128.23;508821.65;61;500;-44.25;135.75
A;191128.93;508822.37;62;500;-44.25;135.75
A;191129.62;508823.09;63;500;-44.25;135.75
A;191130.32;508823.8;64;500;-44.25;135.75
A;191131.02;508824.52;65;500;-44.25;135.75
A;191131.72;508825.24;66;500;-44.25;135.75
A;191132.42;508825.95;67;500;-44.25;135.75
A;191133.11;508826.67;69;500;-44.25;135.75
A;191133.81;508827.38;70;500;-44.25;135.75
A;191134.51;508828.1;71;500;-44.25;135.75
A;191135.21;508828.82;72;500;-44.25;135.75
A;191135.9;508829.53;345;500;-41.87;138.13
A;191136.57;508830.28;47;397;-37.44;142.56
A;191137.18;508831.07;46;397;-37.44;142.56
A;191137.79;508831.87;45;397;-37.44;142.56
A;191138.4;508832.66;45;397;-37.44;142.56
A;191139.0;508833.45;44;397;-37.44;142.56
A;191139.61;508834.25;43;500;-37.44;142.56
A;191140.22;508835.04;43;500;-37.44;142.56
A;191140.83;508835.84;42;406;-37.44;142.56
A;191141.44;508836.63;42;404;-37.44;142.56
A;191142.04;508837.42;41;404;-37.44;142.56
A;191142.65;508838.22;43;404;-37.44;142.56
A;191143.26;508839.01;43;500;-37.44;142.56
A;191143.87;508839.81;43;395;-38.95;141.05
A;191144.49;508840.58;43;500;-46.66;133.34
A;191145.22;508841.27;42;500;-46.66;133.34
A;191145.95;508841.95;42;500;-46.66;133.34
A;191146.68;508842.64;41;500;-46.66;133.34
A;191147.4;508843.33;43;500;-46.66;133.34
A;191148.13;508844.01;43;179;-46.66;133.34
A;191148.86;508844.7;42;174;-46.66;133.34
A;191149.59;508845.39;41;173;-46.66;133.34
A;191150.31;508846.07;34;173;-46.66;133.34
A;191151.04;508846.76;34;172;-46.66;133.34
A;191151.77;508847.45;33;171;-46.66;133.34
A;191152.49;508848.13;32;171;-46.66;133.34
A;191153.22;508848.82;33;170;-46.66;133.34
A;191153.95;508849.5;35;169;-46.66;133.34
A;191154.68;508850.19;34;169;-46.66;133.34
A;191155.4;508850.88;32;156;-53.56;126.44
A;191156.21;508851.47;33;155;-54.23;125.77
A;191157.02;508852.06;34;154;-54.23;125.77
A;191157.83;508852.64;35;154;-54.23;125.77
A;191158.64;508853.22;34;153;-54.23;125.77
A;191159.45;508853.81;32;152;-54.23;125.77
A;191160.26;508854.39;31;152;-54.23;125.77
A;191161.08;508854.98;31;151;-54.23;125.77
A;191161.89;508855.56;30;120;-54.23;125.77
A;191162.7;508856.15;29;120;-54.23;125.77
A;191163.51;508856.73;28;119;-54.23;125.77
A;191164.32;508857.32;27;118;-54.23;125.77
A;191165.13;508857.9;28;118;-54.23;125.77
A;191165.94;508858.49;29;117;-54.23;125.77
A;191166.76;508859.07;29;117;-54.23;125.77
A;191167.57;508859.65;30;116;-54.23;125.77
A;191168.38;508860.24;31;117;-54.23;125.77
A;191169.19;508860.82;33;108;-54.23;125.77
A;191170.0;508861.41;35;107;-54.23;125.77
A;191170.81;508861.99;37;107;-54.23;125.77
A;191171.62;508862.58;37;106;-54.23;125.77
A;191172.44;508863.16;37;105;-54.23;125.77
A;191173.25;508863.75;37;105;-54.23;125.77
A;191174.06;508864.33;37;104;-54.23;125.77
A;191174.87;508864.92;42;104;-54.23;125.77
A;191175.68;508865.5;41;104;-54.23;125.77
A;191176.49;508866.08;45;106;-54.23;125.77
A;191177.3;508866.67;341;107;-54.23;125.77
A;191178.12;508867.25;341;107;-54.23;125.77
A;191178.93;508867.84;340;106;-54.23;125.77
A;191179.74;508868.42;340;106;-54.23;125.77
A;191180.55;508869.01;340;105;-54.23;125.77
A;191181.36;508869.59;340;104;-54.23;125.77
A;191182.17;508870.18;340;104;-54.23;125.77
A;191182.98;508870.76;339;104;-54.23;125.77
A;191183.79;508871.35;339;106;-54.23;125.77
A;191184.61;508871.93;339;108;-54.23;125.77
A;191185.42;508872.52;339;109;-54.23;125.77
A;191186.23;508873.1;341;138;-54.23;125.77
A;191187.04;508873.68;344;137;-54.23;125.77
A;191187.85;508874.27;344;136;-54.23;125.77
A;191188.66;508874.85;344;136;-54.23;125.77
A;191189.47;508875.44;333;105;-48.52;131.48
A;191190.22;508876.1;344;108;-45.83;134.17
A;191190.94;508876.8;384;108;-45.83;134.17
A;191191.66;508877.49;384;107;-45.83;134.17
A;191192.37;508878.19;384;106;-45.83;134.17
A;191193.09;508878.89;384;105;-45.83;134.17
A;191193.81;508879.58;384;104;-45.83;134.17
A;191194.53;508880.28;383;104;-45.83;134.17
A;191195.24;508880.98;347;108;-46.95;133.05
A;191195.97;508881.66;334;136;-49.65;130.35
A;191196.74;508882.31;337;135;-49.65;130.35
A;191197.5;508882.95;337;134;-49.65;130.35
A;191198.26;508883.6;336;134;-49.65;130.35
A;191199.02;508884.25;336;133;-49.65;130.35
A;191199.78;508884.9;336;131;-50.37;129.63
A;191200.55;508885.53;390;131;-54.09;125.91
A;191201.36;508886.12;393;133;-54.09;125.91
A;191202.17;508886.71;431;134;-54.09;125.91
A;191202.98;508887.29;434;136;-54.09;125.91
A;191203.79;508887.88;399;138;-54.09;125.91
A;191204.6;508888.47;399;139;-54.09;125.91
A;191205.41;508889.05;399;141;-54.09;125.91
A;191206.22;508889.64;398;143;-54.09;125.91
A;191207.03;508890.23;383;144;-54.09;125.91
A;191207.84;508890.81;383;146;-54.09;125.91
A;191208.65;508891.4;383;148;-54.09;125.91
A;191209.46;508891.98;384;149;-54.09;125.91
A;191210.27;508892.57;383;154;-54.64;125.36
A;191211.09;508893.15;383;156;-54.73;125.27
A;191211.91;508893.73;383;157;-54.73;125.27
A;191212.72;508894.3;383;159;-54.73;125.27
A;191213.54;508894.88;387;161;-54.73;125.27
A;191214.36;508895.46;403;350;-54.73;125.27
A;191215.17;508896.04;372;350;-54.73;125.27
A;191215.99;508896.61;371;351;-54.73;125.27
A;191216.81;508897.19;334;352;-54.73;125.27
A;191217.62;508897.77;333;353;-54.73;125.27
A;191218.44;508898.35;333;401;-54.73;125.27
A;191219.25;508898.92;387;313;-57.64;122.36
A;191220.1;508899.46;389;314;-58.3;121.7
A;191220.95;508899.98;388;314;-58.3;121.7
A;191221.8;508900.51;388;314;-58.3;121.7
A;191222.65;508901.04;388;314;-58.3;121.7
A;191223.5;508901.56;389;314;-58.3;121.7
A;191224.35;508902.09;391;431;-58.3;121.7
A;191225.2;508902.61;394;430;-58.3;121.7
A;191226.05;508903.14;431;429;-58.3;121.7
A;191226.91;508903.66;431;428;-58.3;121.7
A;191227.76;508904.19;431;427;-58.3;121.7
A;191228.61;508904.71;399;428;-58.3;121.7
A;191229.46;508905.24;399;429;-58.3;121.7
A;191230.31;508905.77;383;431;-58.3;121.7
